protocol,split,replicate,severity,component,seed
mve3-v2-approved-2026-07-18,development,0,1,source_training,2414744776619617163
mve3-v2-approved-2026-07-18,development,0,1,source_evaluation,12011325026012237746
mve3-v2-approved-2026-07-18,development,0,1,controlled_prior_mean,16987987715329879887
mve3-v2-approved-2026-07-18,development,0,1,controlled_prior_scale,1373533918028007786
mve3-v2-approved-2026-07-18,development,0,1,controlled_truth_draw,16669719576758083124
mve3-v2-approved-2026-07-18,development,0,1,visual_render,9041725021745687497
mve3-v2-approved-2026-07-18,development,0,2,source_training,2414744776619617163
mve3-v2-approved-2026-07-18,development,0,2,source_evaluation,12011325026012237746
mve3-v2-approved-2026-07-18,development,0,2,controlled_prior_mean,4583367275152944108
mve3-v2-approved-2026-07-18,development,0,2,controlled_prior_scale,15346870853330872596
mve3-v2-approved-2026-07-18,development,0,2,controlled_truth_draw,12339928601489847931
mve3-v2-approved-2026-07-18,development,0,2,visual_render,12919297440062813874
mve3-v2-approved-2026-07-18,development,0,3,source_training,2414744776619617163
mve3-v2-approved-2026-07-18,development,0,3,source_evaluation,12011325026012237746
mve3-v2-approved-2026-07-18,development,0,3,controlled_prior_mean,14822867739398330001
mve3-v2-approved-2026-07-18,development,0,3,controlled_prior_scale,9645967818742732367
mve3-v2-approved-2026-07-18,development,0,3,controlled_truth_draw,6190271450267711338
mve3-v2-approved-2026-07-18,development,0,3,visual_render,12179767843472678798
mve3-v2-approved-2026-07-18,development,1,1,source_training,9564089929111263609
mve3-v2-approved-2026-07-18,development,1,1,source_evaluation,4692998602394351867
mve3-v2-approved-2026-07-18,development,1,1,controlled_prior_mean,15897913922759756880
mve3-v2-approved-2026-07-18,development,1,1,controlled_prior_scale,17452860209590972591
mve3-v2-approved-2026-07-18,development,1,1,controlled_truth_draw,6683917220114397826
mve3-v2-approved-2026-07-18,development,1,1,visual_render,14422343549678532957
mve3-v2-approved-2026-07-18,development,1,2,source_training,9564089929111263609
mve3-v2-approved-2026-07-18,development,1,2,source_evaluation,4692998602394351867
mve3-v2-approved-2026-07-18,development,1,2,controlled_prior_mean,10346458665727332524
mve3-v2-approved-2026-07-18,development,1,2,controlled_prior_scale,8578631875050599391
mve3-v2-approved-2026-07-18,development,1,2,controlled_truth_draw,3529698146833555983
mve3-v2-approved-2026-07-18,development,1,2,visual_render,14826991075567748935
mve3-v2-approved-2026-07-18,development,1,3,source_training,9564089929111263609
mve3-v2-approved-2026-07-18,development,1,3,source_evaluation,4692998602394351867
mve3-v2-approved-2026-07-18,development,1,3,controlled_prior_mean,1620260435317728823
mve3-v2-approved-2026-07-18,development,1,3,controlled_prior_scale,11391937977497842695
mve3-v2-approved-2026-07-18,development,1,3,controlled_truth_draw,17875015821639981911
mve3-v2-approved-2026-07-18,development,1,3,visual_render,5731404521953324019
mve3-v2-approved-2026-07-18,development,2,1,source_training,7552361093604373658
mve3-v2-approved-2026-07-18,development,2,1,source_evaluation,13972820268715391837
mve3-v2-approved-2026-07-18,development,2,1,controlled_prior_mean,12339762761673943801
mve3-v2-approved-2026-07-18,development,2,1,controlled_prior_scale,10965266061439964961
mve3-v2-approved-2026-07-18,development,2,1,controlled_truth_draw,7544863088610150274
mve3-v2-approved-2026-07-18,development,2,1,visual_render,4995439562375537893
mve3-v2-approved-2026-07-18,development,2,2,source_training,7552361093604373658
mve3-v2-approved-2026-07-18,development,2,2,source_evaluation,13972820268715391837
mve3-v2-approved-2026-07-18,development,2,2,controlled_prior_mean,5015243328973904591
mve3-v2-approved-2026-07-18,development,2,2,controlled_prior_scale,3092972347456427043
mve3-v2-approved-2026-07-18,development,2,2,controlled_truth_draw,8267830260679579890
mve3-v2-approved-2026-07-18,development,2,2,visual_render,11311182229977807119
mve3-v2-approved-2026-07-18,development,2,3,source_training,7552361093604373658
mve3-v2-approved-2026-07-18,development,2,3,source_evaluation,13972820268715391837
mve3-v2-approved-2026-07-18,development,2,3,controlled_prior_mean,17258277231091547228
mve3-v2-approved-2026-07-18,development,2,3,controlled_prior_scale,587982925242967786
mve3-v2-approved-2026-07-18,development,2,3,controlled_truth_draw,13085060395789461984
mve3-v2-approved-2026-07-18,development,2,3,visual_render,9705991690237595863
mve3-v2-approved-2026-07-18,development,3,1,source_training,11627110235394955911
mve3-v2-approved-2026-07-18,development,3,1,source_evaluation,8074961184395211110
mve3-v2-approved-2026-07-18,development,3,1,controlled_prior_mean,17885872332699923716
mve3-v2-approved-2026-07-18,development,3,1,controlled_prior_scale,12536218878524420528
mve3-v2-approved-2026-07-18,development,3,1,controlled_truth_draw,11380297641777341965
mve3-v2-approved-2026-07-18,development,3,1,visual_render,8346898761816961047
mve3-v2-approved-2026-07-18,development,3,2,source_training,11627110235394955911
mve3-v2-approved-2026-07-18,development,3,2,source_evaluation,8074961184395211110
mve3-v2-approved-2026-07-18,development,3,2,controlled_prior_mean,14370215721966758357
mve3-v2-approved-2026-07-18,development,3,2,controlled_prior_scale,6568079700375212320
mve3-v2-approved-2026-07-18,development,3,2,controlled_truth_draw,15358555082419352723
mve3-v2-approved-2026-07-18,development,3,2,visual_render,11259813567325739132
mve3-v2-approved-2026-07-18,development,3,3,source_training,11627110235394955911
mve3-v2-approved-2026-07-18,development,3,3,source_evaluation,8074961184395211110
mve3-v2-approved-2026-07-18,development,3,3,controlled_prior_mean,15271775048908104518
mve3-v2-approved-2026-07-18,development,3,3,controlled_prior_scale,4068343243370719828
mve3-v2-approved-2026-07-18,development,3,3,controlled_truth_draw,6501583305828180431
mve3-v2-approved-2026-07-18,development,3,3,visual_render,9393044707235894435
mve3-v2-approved-2026-07-18,development,4,1,source_training,15975895124982347985
mve3-v2-approved-2026-07-18,development,4,1,source_evaluation,18234607576442382776
mve3-v2-approved-2026-07-18,development,4,1,controlled_prior_mean,7530763462628647775
mve3-v2-approved-2026-07-18,development,4,1,controlled_prior_scale,3056793047658402900
mve3-v2-approved-2026-07-18,development,4,1,controlled_truth_draw,7282286676389651598
mve3-v2-approved-2026-07-18,development,4,1,visual_render,13018279010849489105
mve3-v2-approved-2026-07-18,development,4,2,source_training,15975895124982347985
mve3-v2-approved-2026-07-18,development,4,2,source_evaluation,18234607576442382776
mve3-v2-approved-2026-07-18,development,4,2,controlled_prior_mean,14756191613916509461
mve3-v2-approved-2026-07-18,development,4,2,controlled_prior_scale,6096015110694526947
mve3-v2-approved-2026-07-18,development,4,2,controlled_truth_draw,14446694919645051773
mve3-v2-approved-2026-07-18,development,4,2,visual_render,15586195795885192814
mve3-v2-approved-2026-07-18,development,4,3,source_training,15975895124982347985
mve3-v2-approved-2026-07-18,development,4,3,source_evaluation,18234607576442382776
mve3-v2-approved-2026-07-18,development,4,3,controlled_prior_mean,9586540078294752296
mve3-v2-approved-2026-07-18,development,4,3,controlled_prior_scale,6901254054228291788
mve3-v2-approved-2026-07-18,development,4,3,controlled_truth_draw,14903981090414935125
mve3-v2-approved-2026-07-18,development,4,3,visual_render,10983737144693006063
mve3-v2-approved-2026-07-18,development,5,1,source_training,4257154887672635101
mve3-v2-approved-2026-07-18,development,5,1,source_evaluation,11618032872339536091
mve3-v2-approved-2026-07-18,development,5,1,controlled_prior_mean,4513095851570481115
mve3-v2-approved-2026-07-18,development,5,1,controlled_prior_scale,985366860017478222
mve3-v2-approved-2026-07-18,development,5,1,controlled_truth_draw,11863036690728574028
mve3-v2-approved-2026-07-18,development,5,1,visual_render,1730057062809212515
mve3-v2-approved-2026-07-18,development,5,2,source_training,4257154887672635101
mve3-v2-approved-2026-07-18,development,5,2,source_evaluation,11618032872339536091
mve3-v2-approved-2026-07-18,development,5,2,controlled_prior_mean,12211934227076011677
mve3-v2-approved-2026-07-18,development,5,2,controlled_prior_scale,8063235678328360906
mve3-v2-approved-2026-07-18,development,5,2,controlled_truth_draw,6332083148417470995
mve3-v2-approved-2026-07-18,development,5,2,visual_render,10953313572132066388
mve3-v2-approved-2026-07-18,development,5,3,source_training,4257154887672635101
mve3-v2-approved-2026-07-18,development,5,3,source_evaluation,11618032872339536091
mve3-v2-approved-2026-07-18,development,5,3,controlled_prior_mean,9444711024757229507
mve3-v2-approved-2026-07-18,development,5,3,controlled_prior_scale,12577870404069585947
mve3-v2-approved-2026-07-18,development,5,3,controlled_truth_draw,2432090261827781451
mve3-v2-approved-2026-07-18,development,5,3,visual_render,13125358889066605250
mve3-v2-approved-2026-07-18,development,6,1,source_training,5456060467711166635
mve3-v2-approved-2026-07-18,development,6,1,source_evaluation,17427920909277022032
mve3-v2-approved-2026-07-18,development,6,1,controlled_prior_mean,3417780062230869299
mve3-v2-approved-2026-07-18,development,6,1,controlled_prior_scale,5467326200310089237
mve3-v2-approved-2026-07-18,development,6,1,controlled_truth_draw,12738016848315148415
mve3-v2-approved-2026-07-18,development,6,1,visual_render,11719929335810330251
mve3-v2-approved-2026-07-18,development,6,2,source_training,5456060467711166635
mve3-v2-approved-2026-07-18,development,6,2,source_evaluation,17427920909277022032
mve3-v2-approved-2026-07-18,development,6,2,controlled_prior_mean,6245423617200053371
