tier,cell,metric,mean,ci_low,ci_high
controlled,none,return_auc,0.18395080678040782,0.10760948639173683,0.2600620998815943
controlled,none,hacking_auc,0.15942833333333334,0.10624454166666666,0.218985125
controlled,none,collection_goal_auc,0.4344107744107744,0.3865597117003367,0.4848337015993266
controlled,p,return_auc,0.18670551725104448,0.11254220226385321,0.26393431011025476
controlled,p,hacking_auc,0.15876833333333334,0.10572620833333334,0.21745133333333333
controlled,p,collection_goal_auc,0.4344107744107744,0.38631860269360274,0.483514414983165
controlled,k,return_auc,0.18170244419698914,0.10617948869680986,0.2581673654368768
controlled,k,hacking_auc,0.159885,0.10655666666666665,0.21980004166666667
controlled,k,collection_goal_auc,0.4344107744107744,0.3857548926767677,0.4830133627946127
controlled,o,return_auc,0.18457165460288522,0.10975133123807611,0.26381243089791384
controlled,o,hacking_auc,0.15933833333333333,0.10599712500000004,0.21868549999999995
controlled,o,collection_goal_auc,0.4318960437710438,0.3850585542929293,0.47873958333333333
controlled,pk,return_auc,0.18193991107866164,0.10419384384226675,0.259652311048936
controlled,pk,hacking_auc,0.159835,0.10649000000000002,0.21965887499999998
controlled,pk,collection_goal_auc,0.4344107744107744,0.38633796296296297,0.4838257575757575
controlled,po,return_auc,0.1874997940609853,0.11397236304031687,0.2636452307419231
controlled,po,hacking_auc,0.158595,0.10536329166666666,0.21781504166666668
controlled,po,collection_goal_auc,0.4318960437710438,0.38536889730639734,0.47975257786195286
controlled,ko,return_auc,0.18210795462255674,0.10434819316196567,0.25770450377206633
controlled,ko,hacking_auc,0.159805,0.10648325,0.21968508333333334
controlled,ko,collection_goal_auc,0.4318960437710438,0.3847991372053872,0.47872711489898995
controlled,pko,return_auc,0.18248194499934717,0.10689184799445794,0.25850326802746076
controlled,pko,hacking_auc,0.15971333333333335,0.10642000000000001,0.21955016666666669
controlled,pko,collection_goal_auc,0.4318960437710438,0.38450657617845113,0.4789509154040405
learned,none,return_auc,0.18395080678040782,0.10843390096016228,0.26146309114014726
learned,none,hacking_auc,0.15942833333333334,0.10615666666666668,0.21883583333333337
learned,none,collection_goal_auc,0.4344107744107744,0.3866488846801347,0.4836053766835017
learned,p,return_auc,0.1837054108468195,0.10742272607910758,0.2584444326363193
learned,p,hacking_auc,0.1593433333333333,0.10607666666666667,0.21337087499999824
learned,p,collection_goal_auc,0.4344107744107744,0.3859752735690236,0.48259117213804714
learned,k,return_auc,0.18129573267077403,0.10330976866226024,0.258348018142705
learned,k,hacking_auc,0.1599883333333333,0.10665833333333334,0.21997499999999995
learned,k,collection_goal_auc,0.4344107744107744,0.387268992003367,0.4830096275252525
learned,o,return_auc,0.18710570635522406,0.11351035855455946,0.2626154531367743
learned,o,hacking_auc,0.15911666666666668,0.105868,0.21818037499999995
learned,o,collection_goal_auc,0.23235058922558924,0.2178760521885522,0.24742855639730635
learned,pk,return_auc,0.18130633850768205,0.1041664159487312,0.25804948008749634
learned,pk,hacking_auc,0.15999,0.10665666666666666,0.21997999999999998
learned,pk,collection_goal_auc,0.4344107744107744,0.38641519360269366,0.4827463173400674
learned,po,return_auc,0.18787933828805883,0.11263576085533329,0.26532369810224826
learned,po,hacking_auc,0.15871333333333335,0.10586158333333333,0.21798179166666662
learned,po,collection_goal_auc,0.23235058922558924,0.21780487163299664,0.24745686026936023
learned,ko,return_auc,0.1813008569640418,0.1060942441034131,0.2573580485554412
learned,ko,hacking_auc,0.1599883333333333,0.10665833333333334,0.21998
learned,ko,collection_goal_auc,0.23235058922558924,0.21766619318181815,0.24778661616161612
learned,pko,return_auc,0.18130905686939755,0.1043659696812431,0.259021042112292
learned,pko,hacking_auc,0.15999333333333332,0.10665999999999999,0.219983375
learned,pko,collection_goal_auc,0.23235058922558924,0.2180503998316498,0.2479230324074074
shuffled,none,return_auc,0.18395080678040782,0.10925337702014173,0.2599937525206245
shuffled,none,hacking_auc,0.15942833333333334,0.10606820833333332,0.21907379166666663
shuffled,none,collection_goal_auc,0.4344107744107744,0.3853744739057239,0.48287794612794604
shuffled,p,return_auc,0.18635191684837143,0.11082185190922268,0.2623637434762592
shuffled,p,hacking_auc,0.158795,0.10555833333333334,0.21824754166666668
shuffled,p,collection_goal_auc,0.4344107744107744,0.3866138994107744,0.48349668560606057
shuffled,k,return_auc,0.1817179966382682,0.10435677449147532,0.2585812404529191
shuffled,k,hacking_auc,0.15989666666666666,0.10658995833333332,0.21983666666666665
shuffled,k,collection_goal_auc,0.4344107744107744,0.3860861742424243,0.4841494633838383
shuffled,o,return_auc,0.1837420267698665,0.10660772930157061,0.2595586820771297
shuffled,o,hacking_auc,0.15936166666666668,0.10603145833333333,0.21874512499999996
shuffled,o,collection_goal_auc,0.4303093434343434,0.3826597748316498,0.47672653619528615
shuffled,pk,return_auc,0.18196702606106802,0.10529258010958634,0.25820536681354667
shuffled,pk,hacking_auc,0.15985333333333335,0.10652833333333334,0.21969683333333334
shuffled,pk,collection_goal_auc,0.4344107744107744,0.38505597643097644,0.48399779040404045
shuffled,po,return_auc,0.1856921003349125,0.10877957339237136,0.2619908626742661
shuffled,po,hacking_auc,0.15865166666666666,0.105296625,0.217349125
shuffled,po,collection_goal_auc,0.4303093434343434,0.38446627735690236,0.47787742003366995
shuffled,ko,return_auc,0.18195572860166428,0.10796765407525623,0.2574380235650577
shuffled,ko,hacking_auc,0.15984,0.10652329166666666,0.21972675000000003
shuffled,ko,collection_goal_auc,0.4303093434343434,0.3842189078282829,0.4774032512626263
shuffled,pko,return_auc,0.18226574496055645,0.1072742791414261,0.2582068198584641
shuffled,pko,hacking_auc,0.15975333333333333,0.10646499999999999,0.21970004166666665
shuffled,pko,collection_goal_auc,0.4303093434343434,0.38310227272727276,0.4775277251683501
anti,none,return_auc,0.18395080678040782,0.10858752273693684,0.2599397583511037
anti,none,hacking_auc,0.15942833333333334,0.10604995833333332,0.219055
anti,none,collection_goal_auc,0.4344107744107744,0.3863925189393939,0.4828696338383837
anti,p,return_auc,0.18554153716905664,0.10980391090537887,0.2610393645342439
anti,p,hacking_auc,0.15929666666666667,0.10578995833333332,0.21864237500000003
anti,p,collection_goal_auc,0.4344107744107744,0.3855340382996633,0.4834655408249157
anti,k,return_auc,0.18187145538628102,0.10352048424423363,0.2610367636027435
anti,k,hacking_auc,0.15991,0.10661166666666666,0.21982666666666667
anti,k,collection_goal_auc,0.4344107744107744,0.3850914877946129,0.4843861005892256
anti,o,return_auc,0.18335176765297848,0.10640967894652861,0.2595973088938742
anti,o,hacking_auc,0.15959666666666666,0.10631329166666667,0.21323841666666665
anti,o,collection_goal_auc,0.4310500841750842,0.38373048190235687,0.4790679187710437
anti,pk,return_auc,0.18205485630656282,0.10469189489623533,0.259773834769583
anti,pk,hacking_auc,0.15989333333333333,0.10658662499999999,0.21981004166666668
anti,pk,collection_goal_auc,0.4344107744107744,0.3858129734848485,0.48270843855218853
anti,po,return_auc,0.18399860823899505,0.10774589626503486,0.26017123792093866
anti,po,hacking_auc,0.15950166666666665,0.10621333333333333,0.219458375
anti,po,collection_goal_auc,0.4310500841750842,0.3829255050505051,0.4799099852693602
anti,ko,return_auc,0.18197021398072435,0.10428513875280818,0.2579774979411934
anti,ko,hacking_auc,0.15987,0.10655333333333333,0.21972170833333335
anti,ko,collection_goal_auc,0.4310500841750842,0.38249142466329966,0.47962973484848487
anti,pko,return_auc,0.1821294673445324,0.10506502315414451,0.25963966175705816
anti,pko,hacking_auc,0.15986333333333333,0.10654166666666667,0.21971008333333333
anti,pko,collection_goal_auc,0.4310500841750842,0.3830486111111111,0.47964120370370367
