protocol,split,replicate,severity,tier,cell,component,seed
mve3-v2-approved-2026-07-18,locked,0,1,controlled,shared,o_collection_root,589988274284953453
mve3-v2-approved-2026-07-18,locked,0,1,controlled,shared,non_o_collection_root,1773316481788693159
mve3-v2-approved-2026-07-18,locked,0,1,controlled,shared,evaluation_root,16459918121269462014
mve3-v2-approved-2026-07-18,locked,0,1,controlled,none,cell_identity,8920485959605195505
mve3-v2-approved-2026-07-18,locked,0,1,controlled,p,cell_identity,15828983750662182990
mve3-v2-approved-2026-07-18,locked,0,1,controlled,k,cell_identity,18238701746938558821
mve3-v2-approved-2026-07-18,locked,0,1,controlled,o,cell_identity,5875743710930298080
mve3-v2-approved-2026-07-18,locked,0,1,controlled,pk,cell_identity,10337950220950486714
mve3-v2-approved-2026-07-18,locked,0,1,controlled,po,cell_identity,2616450085794748805
mve3-v2-approved-2026-07-18,locked,0,1,controlled,ko,cell_identity,16776968106305527843
mve3-v2-approved-2026-07-18,locked,0,1,controlled,pko,cell_identity,815892808052869794
mve3-v2-approved-2026-07-18,locked,0,1,learned,shared,o_collection_root,15536275600997111230
mve3-v2-approved-2026-07-18,locked,0,1,learned,shared,non_o_collection_root,1773316481788693159
mve3-v2-approved-2026-07-18,locked,0,1,learned,shared,evaluation_root,16459918121269462014
mve3-v2-approved-2026-07-18,locked,0,1,learned,none,cell_identity,5538501396018184836
mve3-v2-approved-2026-07-18,locked,0,1,learned,p,cell_identity,5783618369383322628
mve3-v2-approved-2026-07-18,locked,0,1,learned,k,cell_identity,2251234631519940974
mve3-v2-approved-2026-07-18,locked,0,1,learned,o,cell_identity,4476297474837186748
mve3-v2-approved-2026-07-18,locked,0,1,learned,pk,cell_identity,187683075937156555
mve3-v2-approved-2026-07-18,locked,0,1,learned,po,cell_identity,13264822271769245668
mve3-v2-approved-2026-07-18,locked,0,1,learned,ko,cell_identity,16652697722291878394
mve3-v2-approved-2026-07-18,locked,0,1,learned,pko,cell_identity,6645101619558550986
mve3-v2-approved-2026-07-18,locked,0,1,shuffled,shared,o_collection_root,7652406075372610178
mve3-v2-approved-2026-07-18,locked,0,1,shuffled,shared,non_o_collection_root,1773316481788693159
mve3-v2-approved-2026-07-18,locked,0,1,shuffled,shared,evaluation_root,16459918121269462014
mve3-v2-approved-2026-07-18,locked,0,1,shuffled,none,cell_identity,14110331659857020799
