protocol,split,replicate,severity,tier,cell,component,seed
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,shared,o_collection_root,3961828661610766823
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,shared,non_o_collection_root,11883025937117164457
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,shared,evaluation_root,5058452689349382272
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,none,cell_identity,9604425510065447699
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,p,cell_identity,6328510159366838126
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,k,cell_identity,11084550119870144730
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,o,cell_identity,17723023676821156183
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,pk,cell_identity,18207918095545172918
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,po,cell_identity,12445588674054647959
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,ko,cell_identity,2098574725954866693
mve3-v2-approved-2026-07-18,pilot,0,1,controlled,pko,cell_identity,7367808182435659980
mve3-v2-approved-2026-07-18,pilot,0,1,learned,shared,o_collection_root,6958014114642421499
mve3-v2-approved-2026-07-18,pilot,0,1,learned,shared,non_o_collection_root,11883025937117164457
mve3-v2-approved-2026-07-18,pilot,0,1,learned,shared,evaluation_root,5058452689349382272
mve3-v2-approved-2026-07-18,pilot,0,1,learned,none,cell_identity,607260604863310588
mve3-v2-approved-2026-07-18,pilot,0,1,learned,p,cell_identity,16233705780396579183
mve3-v2-approved-2026-07-18,pilot,0,1,learned,k,cell_identity,16055103155280988588
mve3-v2-approved-2026-07-18,pilot,0,1,learned,o,cell_identity,13938866334660808938
mve3-v2-approved-2026-07-18,pilot,0,1,learned,pk,cell_identity,13516908057425783394
mve3-v2-approved-2026-07-18,pilot,0,1,learned,po,cell_identity,420405450272803438
mve3-v2-approved-2026-07-18,pilot,0,1,learned,ko,cell_identity,18432109830827033406
mve3-v2-approved-2026-07-18,pilot,0,1,learned,pko,cell_identity,12727607324106724557
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,shared,o_collection_root,6542876496159811855
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,shared,non_o_collection_root,11883025937117164457
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,shared,evaluation_root,5058452689349382272
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,none,cell_identity,15494023001639580306
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,p,cell_identity,1023828795958873501
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,k,cell_identity,11206720631630115591
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,o,cell_identity,15308147910129724269
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,pk,cell_identity,14687750891295558800
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,po,cell_identity,7003266448896412191
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,ko,cell_identity,15969240586098476678
mve3-v2-approved-2026-07-18,pilot,0,1,shuffled,pko,cell_identity,1607284299644130255
mve3-v2-approved-2026-07-18,pilot,0,1,anti,shared,o_collection_root,11876695291750566646
mve3-v2-approved-2026-07-18,pilot,0,1,anti,shared,non_o_collection_root,11883025937117164457
mve3-v2-approved-2026-07-18,pilot,0,1,anti,shared,evaluation_root,5058452689349382272
mve3-v2-approved-2026-07-18,pilot,0,1,anti,none,cell_identity,11453460926237556868
